Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
1,10464,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_10464.test,1,Mon Apr 03 14:16:17 2017,Mon Apr 03 14:16:18 2017,1048576,1,7,Mon Apr 03 14:16:18 2017,Mon Apr 03 14:16:25 2017,1048576,1
1,5236,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_5236.test,5,Mon Apr 03 14:16:17 2017,Mon Apr 03 14:16:22 2017,1048576,1,3,Mon Apr 03 14:16:22 2017,Mon Apr 03 14:16:25 2017,1048576,1
1,18112,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_18112.test,5,Mon Apr 03 14:16:17 2017,Mon Apr 03 14:16:22 2017,1048576,1,3,Mon Apr 03 14:16:22 2017,Mon Apr 03 14:16:25 2017,1048576,1
1,13244,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_13244.test,5,Mon Apr 03 14:16:17 2017,Mon Apr 03 14:16:22 2017,1048576,1,3,Mon Apr 03 14:16:22 2017,Mon Apr 03 14:16:25 2017,1048576,1
1,16300,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_16300.test,5,Mon Apr 03 14:16:17 2017,Mon Apr 03 14:16:22 2017,1048576,1,3,Mon Apr 03 14:16:22 2017,Mon Apr 03 14:16:25 2017,1048576,1
