Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
1,11676,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_11676.test,325,Wed Apr 12 09:56:48 2017,Wed Apr 12 10:02:13 2017,104857600,100,377,Wed Apr 12 10:02:13 2017,Wed Apr 12 10:08:30 2017,104857600,100
1,13372,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_13372.test,362,Wed Apr 12 09:56:56 2017,Wed Apr 12 10:02:58 2017,104857600,100,332,Wed Apr 12 10:02:58 2017,Wed Apr 12 10:08:30 2017,104857600,100
1,13692,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_13692.test,375,Wed Apr 12 09:56:56 2017,Wed Apr 12 10:03:11 2017,104857600,100,317,Wed Apr 12 10:03:11 2017,Wed Apr 12 10:08:28 2017,104857600,100
