Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
1,15772,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_15772.test,124,Wed Apr 05 09:56:32 2017,Wed Apr 05 09:58:36 2017,10485760,10,66,Wed Apr 05 09:58:36 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,16952,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_16952.test,74,Wed Apr 05 09:56:32 2017,Wed Apr 05 09:57:46 2017,10485760,10,116,Wed Apr 05 09:57:46 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,10136,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_10136.test,124,Wed Apr 05 09:56:33 2017,Wed Apr 05 09:58:37 2017,10485760,10,65,Wed Apr 05 09:58:37 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,17400,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_17400.test,124,Wed Apr 05 09:56:33 2017,Wed Apr 05 09:58:37 2017,10485760,10,66,Wed Apr 05 09:58:37 2017,Wed Apr 05 09:59:43 2017,10485760,10
1,11516,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_11516.test,124,Wed Apr 05 09:56:33 2017,Wed Apr 05 09:58:37 2017,10485760,10,65,Wed Apr 05 09:58:37 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,2036,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_2036.test,124,Wed Apr 05 09:56:33 2017,Wed Apr 05 09:58:37 2017,10485760,10,65,Wed Apr 05 09:58:37 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,21376,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_21376.test,124,Wed Apr 05 09:56:33 2017,Wed Apr 05 09:58:37 2017,10485760,10,65,Wed Apr 05 09:58:37 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,20928,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_20928.test,123,Wed Apr 05 09:56:32 2017,Wed Apr 05 09:58:35 2017,10485760,10,67,Wed Apr 05 09:58:35 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,19312,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_19312.test,119,Wed Apr 05 09:56:32 2017,Wed Apr 05 09:58:31 2017,10485760,10,71,Wed Apr 05 09:58:31 2017,Wed Apr 05 09:59:42 2017,10485760,10
1,4356,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_4356.test,124,Wed Apr 05 09:56:33 2017,Wed Apr 05 09:58:37 2017,10485760,10,65,Wed Apr 05 09:58:37 2017,Wed Apr 05 09:59:42 2017,10485760,10
